human_team,human_off,human_def,bot_team,bot_off,bot_def,games,bot_decisive_wins,bot_timeout_wins,draws,bot_timeout_losses,bot_decisive_losses,avg_ticks
Black,nuke,heal,White,nuke,wall,200,200,0,0,0,0,5219
Black,nuke,heal,White,freeze,heal,200,200,0,0,0,0,7588
Black,nuke,heal,White,nuke,heal,200,200,0,0,0,0,7708
Black,nuke,heal,White,firebomb,heal,200,200,0,0,0,0,9257
Black,nuke,heal,White,freeze,speed,200,200,0,0,0,0,8573
Black,nuke,heal,Black,nuke,heal,200,200,0,0,0,0,7643
Black,nuke,heal,Blue,nuke,heal,200,200,0,0,0,0,8578
Black,nuke,heal,Black,nuke,wall,200,200,0,0,0,0,8330
Black,nuke,reinforcements,White,nuke,wall,200,200,0,0,0,0,8103
Black,nuke,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,5148
Black,nuke,reinforcements,White,freeze,heal,200,200,0,0,0,0,4057
Black,nuke,reinforcements,White,freeze,wall,200,200,0,0,0,0,4067
Black,nuke,reinforcements,White,nuke,heal,200,200,0,0,0,0,8123
Black,nuke,reinforcements,White,firebomb,heal,200,200,0,0,0,0,8446
Black,nuke,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,5249
Black,nuke,reinforcements,White,freeze,speed,200,200,0,0,0,0,4513
Black,nuke,speed,White,nuke,wall,200,200,0,0,0,0,6982
Black,nuke,speed,White,nuke,heal,200,200,0,0,0,0,7559
Black,nuke,speed,White,firebomb,heal,200,200,0,0,0,0,4929
Black,nuke,speed,White,freeze,speed,200,200,0,0,0,0,8232
Black,nuke,speed,Black,nuke,heal,200,200,0,0,0,0,10008
Black,nuke,speed,Blue,nuke,heal,200,200,0,0,0,0,8530
Black,nuke,speed,White,firebomb,speed,200,200,0,0,0,0,8513
Black,nuke,speed,Black,nuke,wall,200,200,0,0,0,0,8272
Black,nuke,wall,White,nuke,wall,200,200,0,0,0,0,7967
Black,nuke,wall,White,nuke,reinforcements,200,200,0,0,0,0,5264
Black,nuke,wall,White,freeze,heal,200,200,0,0,0,0,7583
Black,nuke,wall,White,nuke,heal,200,199,0,1,0,0,8593
Black,nuke,wall,White,firebomb,heal,200,200,0,0,0,0,7796
Black,nuke,wall,White,firebomb,wall,200,200,0,0,0,0,7675
Black,nuke,wall,White,freeze,speed,200,200,0,0,0,0,8500
Black,nuke,wall,White,firebomb,reinforcements,200,200,0,0,0,0,5703
Black,firebomb,heal,White,nuke,wall,200,200,0,0,0,0,6588
Black,firebomb,heal,White,nuke,reinforcements,200,200,0,0,0,0,5542
Black,firebomb,heal,White,freeze,heal,200,200,0,0,0,0,7612
Black,firebomb,heal,White,freeze,wall,200,192,0,1,0,7,7756
Black,firebomb,heal,White,nuke,heal,200,200,0,0,0,0,6679
Black,firebomb,heal,White,firebomb,heal,200,200,0,0,0,0,7793
Black,firebomb,heal,White,firebomb,wall,200,200,0,0,0,0,7699
Black,firebomb,heal,White,freeze,reinforcements,200,200,0,0,0,0,5267
Black,firebomb,reinforcements,White,nuke,wall,200,200,0,0,0,0,9624
Black,firebomb,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,5285
Black,firebomb,reinforcements,White,freeze,heal,200,200,0,0,0,0,7871
Black,firebomb,reinforcements,White,freeze,wall,200,200,0,0,0,0,8216
Black,firebomb,reinforcements,White,nuke,heal,200,200,0,0,0,0,5329
Black,firebomb,reinforcements,White,firebomb,heal,200,200,0,0,0,0,9324
Black,firebomb,reinforcements,White,firebomb,wall,200,200,0,0,0,0,8127
Black,firebomb,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,5442
Black,firebomb,speed,White,nuke,wall,200,200,0,0,0,0,7608
Black,firebomb,speed,White,nuke,reinforcements,200,200,0,0,0,0,5428
Black,firebomb,speed,White,freeze,heal,200,200,0,0,0,0,9458
Black,firebomb,speed,White,firebomb,heal,200,200,0,0,0,0,6703
Black,firebomb,speed,White,freeze,reinforcements,200,200,0,0,0,0,5267
Black,firebomb,speed,White,freeze,speed,200,200,0,0,0,0,8058
Black,firebomb,speed,White,firebomb,reinforcements,200,200,0,0,0,0,5123
Black,firebomb,speed,Blue,nuke,heal,200,200,0,0,0,0,5329
Black,firebomb,wall,White,nuke,reinforcements,200,200,0,0,0,0,7153
Black,firebomb,wall,White,freeze,heal,200,200,0,0,0,0,7581
Black,firebomb,wall,White,freeze,wall,200,200,0,0,0,0,7669
Black,firebomb,wall,White,nuke,heal,200,200,0,0,0,0,7681
Black,firebomb,wall,White,firebomb,heal,200,200,0,0,0,0,7733
Black,firebomb,wall,White,firebomb,wall,200,200,0,0,0,0,7858
Black,firebomb,wall,White,freeze,reinforcements,200,200,0,0,0,0,5614
Black,firebomb,wall,White,freeze,speed,200,200,0,0,0,0,7926
Black,snipe,heal,White,nuke,wall,200,200,0,0,0,0,7950
Black,snipe,heal,White,nuke,reinforcements,200,200,0,0,0,0,5084
Black,snipe,heal,White,freeze,heal,200,200,0,0,0,0,7852
Black,snipe,heal,White,nuke,heal,200,200,0,0,0,0,8047
Black,snipe,heal,White,firebomb,heal,200,200,0,0,0,0,8434
Black,snipe,heal,White,firebomb,wall,200,200,0,0,0,0,8399
Black,snipe,heal,White,freeze,reinforcements,200,200,0,0,0,0,5094
Black,snipe,heal,White,freeze,speed,200,200,0,0,0,0,9377
Black,snipe,reinforcements,White,nuke,wall,200,200,0,0,0,0,8240
Black,snipe,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,5198
Black,snipe,reinforcements,White,freeze,heal,200,200,0,0,0,0,9671
Black,snipe,reinforcements,White,freeze,wall,200,200,0,0,0,0,6104
Black,snipe,reinforcements,White,nuke,heal,200,200,0,0,0,0,4469
Black,snipe,reinforcements,White,firebomb,heal,200,200,0,0,0,0,5418
Black,snipe,reinforcements,White,firebomb,wall,200,200,0,0,0,0,5959
Black,snipe,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,5196
Black,snipe,speed,White,nuke,wall,200,200,0,0,0,0,8805
Black,snipe,speed,White,nuke,reinforcements,200,200,0,0,0,0,5054
Black,snipe,speed,White,freeze,heal,200,200,0,0,0,0,8243
Black,snipe,speed,White,freeze,wall,200,200,0,0,0,0,8261
Black,snipe,speed,White,nuke,heal,200,200,0,0,0,0,7132
Black,snipe,speed,White,firebomb,heal,200,200,0,0,0,0,8273
Black,snipe,speed,White,firebomb,wall,200,200,0,0,0,0,8074
Black,snipe,speed,White,freeze,reinforcements,200,200,0,0,0,0,5114
Black,snipe,wall,White,nuke,wall,200,200,0,0,0,0,7662
Black,snipe,wall,White,nuke,reinforcements,200,200,0,0,0,0,5313
Black,snipe,wall,White,freeze,heal,200,200,0,0,0,0,7641
Black,snipe,wall,White,freeze,wall,200,200,0,0,0,0,7632
Black,snipe,wall,White,nuke,heal,200,200,0,0,0,0,7897
Black,snipe,wall,White,firebomb,heal,200,198,0,0,0,2,7745
Black,snipe,wall,White,firebomb,wall,200,200,0,0,0,0,7634
Black,snipe,wall,White,freeze,reinforcements,200,200,0,0,0,0,5440
Black,freeze,heal,White,nuke,wall,200,200,0,0,0,0,7751
Black,freeze,heal,White,nuke,reinforcements,200,200,0,0,0,0,5468
Black,freeze,heal,White,freeze,heal,200,200,0,0,0,0,8318
Black,freeze,heal,White,freeze,wall,200,200,0,0,0,0,6827
Black,freeze,heal,White,firebomb,heal,200,200,0,0,0,0,7955
Black,freeze,heal,White,firebomb,wall,200,200,0,0,0,0,7994
