human_team,human_off,human_def,bot_team,bot_off,bot_def,games,bot_decisive_wins,bot_timeout_wins,draws,bot_timeout_losses,bot_decisive_losses,avg_ticks
Blue,snipe,reinforcements,White,firebomb,heal,200,200,0,0,0,0,8195
Blue,snipe,reinforcements,White,firebomb,wall,200,200,0,0,0,0,5761
Blue,snipe,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,4161
Blue,snipe,speed,White,nuke,wall,200,200,0,0,0,0,7799
Blue,snipe,speed,White,nuke,reinforcements,200,200,0,0,0,0,4987
Blue,snipe,speed,White,freeze,heal,200,200,0,0,0,0,8262
Blue,snipe,speed,White,freeze,wall,200,200,0,0,0,0,8391
Blue,snipe,speed,White,nuke,heal,200,200,0,0,0,0,8279
Blue,snipe,speed,White,firebomb,heal,200,200,0,0,0,0,8368
Blue,snipe,speed,White,firebomb,wall,200,200,0,0,0,0,7868
Blue,snipe,speed,White,freeze,reinforcements,200,200,0,0,0,0,4993
Blue,snipe,wall,White,nuke,wall,200,200,0,0,0,0,7759
Blue,snipe,wall,White,nuke,reinforcements,200,200,0,0,0,0,4300
Blue,snipe,wall,White,freeze,heal,200,200,0,0,0,0,7804
Blue,snipe,wall,White,freeze,wall,200,200,0,0,0,0,7606
Blue,snipe,wall,White,nuke,heal,200,200,0,0,0,0,7706
Blue,snipe,wall,White,firebomb,heal,200,200,0,0,0,0,7561
Blue,snipe,wall,White,firebomb,wall,200,200,0,0,0,0,7844
Blue,snipe,wall,White,freeze,reinforcements,200,200,0,0,0,0,4452
Blue,freeze,heal,White,nuke,wall,200,200,0,0,0,0,7823
Blue,freeze,heal,White,nuke,reinforcements,200,200,0,0,0,0,9002
Blue,freeze,heal,White,freeze,heal,200,200,0,0,0,0,7936
Blue,freeze,heal,White,freeze,wall,200,200,0,0,0,0,8014
Blue,freeze,heal,White,nuke,heal,200,200,0,0,0,0,8014
Blue,freeze,heal,White,firebomb,heal,200,200,0,0,0,0,8297
Blue,freeze,heal,White,firebomb,wall,200,200,0,0,0,0,8318
Blue,freeze,heal,White,freeze,reinforcements,200,200,0,0,0,0,7197
Blue,freeze,reinforcements,White,nuke,wall,200,200,0,0,0,0,6779
Blue,freeze,reinforcements,White,nuke,reinforcements,200,200,0,0,0,0,4192
Blue,freeze,reinforcements,White,nuke,heal,200,200,0,0,0,0,3434
Blue,freeze,reinforcements,White,firebomb,heal,200,200,0,0,0,0,8262
Blue,freeze,reinforcements,White,firebomb,wall,200,200,0,0,0,0,8259
Blue,freeze,reinforcements,White,freeze,reinforcements,200,200,0,0,0,0,4522
Blue,freeze,reinforcements,White,firebomb,reinforcements,200,200,0,0,0,0,5028
Blue,freeze,reinforcements,Black,nuke,heal,200,200,0,0,0,0,3549
Blue,freeze,speed,White,nuke,wall,200,200,0,0,0,0,7827
Blue,freeze,speed,White,nuke,reinforcements,200,200,0,0,0,0,5582
Blue,freeze,speed,White,freeze,heal,200,200,0,0,0,0,7974
Blue,freeze,speed,White,freeze,wall,200,200,0,0,0,0,7821
Blue,freeze,speed,White,nuke,heal,200,200,0,0,0,0,8268
Blue,freeze,speed,White,firebomb,heal,200,200,0,0,0,0,8273
Blue,freeze,speed,White,firebomb,wall,200,200,0,0,0,0,7876
Blue,freeze,speed,White,freeze,reinforcements,200,200,0,0,0,0,5122
Blue,freeze,wall,White,nuke,wall,200,200,0,0,0,0,7917
Blue,freeze,wall,White,nuke,reinforcements,200,200,0,0,0,0,4683
Blue,freeze,wall,White,freeze,heal,200,200,0,0,0,0,7822
Blue,freeze,wall,White,freeze,wall,200,200,0,0,0,0,7797
Blue,freeze,wall,White,nuke,heal,200,200,0,0,0,0,5959
Blue,freeze,wall,White,firebomb,heal,200,200,0,0,0,0,7821
Blue,freeze,wall,White,firebomb,wall,200,200,0,0,0,0,7796
Blue,freeze,wall,White,freeze,reinforcements,200,200,0,0,0,0,4755
