attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,anchor_delay,anchor_max,anchors_alive,anchor_first_tick,anchor_delayed_ticks,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,0,1,castle_destroyed,1020,34.00,False,0,0,0,1,0,0,3549,3549,3,-1,1.0000,456
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,1,1,force_destroyed,1155,38.50,False,1155,967,2310,251,3493,0,3549,3549,0,1155,0.3035,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,2,1,force_destroyed,1245,41.50,False,623,533,1246,134,2429,0,3549,3549,0,1245,0.3059,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,3,1,force_destroyed,944,31.47,False,315,258,630,93,1813,0,3549,3549,0,944,0.3518,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,6,1,force_destroyed,1499,49.97,False,250,217,500,67,1683,0,3549,3549,0,1499,0.3988,-1
Black,7,gorillo,3,0,-,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,10,1,force_destroyed,1399,46.63,False,140,119,280,36,1463,0,3549,3549,0,1399,0.5047,-1
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,0,1,castle_destroyed,797,26.57,False,0,0,0,1,0,27,4224,3549,3,-1,1.0000,132
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,1,1,force_destroyed,1529,50.97,False,1529,1403,3058,133,4183,50,4799,3549,0,1500,0.4471,-1
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,2,1,force_destroyed,5003,166.77,False,2502,2494,5004,42,6043,162,7599,3549,0,4859,1.0000,1002
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,0,300,0,Black,evilminnow,3,1,castle_destroyed,1399,46.63,False,467,463,934,28,0,47,4724,3549,3,-1,1.0000,508
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,6,1,force_destroyed,1109,36.97,False,185,175,370,14,1517,34,4399,3549,0,997,1.0000,230
Black,7,gorillo,3,4,evilnom,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,10,1,castle_destroyed,870,29.00,False,87,85,174,8,0,29,4274,3549,3,-1,1.0000,174
Black,7,gorillo,5,0,-,7,gorillo,1,1183,300,1,1,300,0,Black,evilminnow,0,1,castle_destroyed,739,24.63,False,0,-1,0,1,0,0,5915,5915,5,-1,1.0000,456
