attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,0,1,castle_destroyed,589,19.63,False,0,0,0,1,0,20,1514,1014,3,-1,1.0000,144
Black,6,weirdo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,1,1,force_destroyed,527,17.57,False,527,427,1054,110,1046,16,1414,1014,0,459,0.5765,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,3,192,Black,evilminnow,2,1,force_destroyed,861,28.70,False,431,364,862,67,870,23,1589,1014,0,677,0.9365,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,4,256,Black,evilminnow,3,1,force_destroyed,941,31.37,False,314,299,628,35,710,26,1664,1014,0,775,1.0000,559
Black,6,weirdo,3,4,evilnom,5,evilbirdo,4,256,Black,evilminnow,5,1,force_destroyed,970,32.33,False,194,182,388,21,498,26,1664,1014,0,765,1.0000,290
Black,6,weirdo,3,4,evilnom,5,evilbirdo,4,256,Black,evilminnow,8,1,castle_destroyed,973,32.43,False,122,121,244,14,0,33,1839,1014,3,-1,1.0000,202
Black,7,gorillo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,0,1,castle_destroyed,575,19.17,False,0,0,0,1,0,20,4049,3549,3,-1,1.0000,244
Black,7,gorillo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,1,1,force_destroyed,2260,75.33,False,2260,2116,4520,151,5000,75,5424,3549,0,2244,0.3812,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,10,640,Black,evilminnow,2,1,castle_destroyed,2720,90.67,False,1360,1355,2720,66,0,91,5824,3549,3,-1,1.0000,1264
Black,7,gorillo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,3,1,castle_destroyed,1831,61.03,False,611,606,1222,44,0,62,5099,3549,3,-1,1.0000,868
