STALL TEST -- a high-tier attacking force vs a stream of tier-1 chumps
  castle HP      : 23000 both sides
  income         : $5000/s both sides (spawns are never money-limited)
  attacker teams : Black,Blue,Green,Orange,Purple,Red,White,Yellow
  blocker        : mirror
  tiers          : 5,6,7,8
  force sizes    : 1,3,5 (spawned 1.00s apart)
  escorts        : none,T4 (one every 1.00s while any high-tier unit lives)
  anchors        : none (defender spawns one every 5.00s alongside the chumps)
  chump periods  : 1,2,3,5,10,15,30 ticks  (30.00/s,15.00/s,10.00/s,6.00/s,3.00/s,2.00/s,1.00/s)
  attacker seat  : 1
  attacker castle: normal (chumps can win the game outright)
  horizon        : 36000 ticks (1200s); the real game ends at 600s

  8/1536 runs...  16/1536 runs...  24/1536 runs...  32/1536 runs...  40/1536 runs...  48/1536 runs...  56/1536 runs...  64/1536 runs...  72/1536 runs...  80/1536 runs...  88/1536 runs...  96/1536 runs...  104/1536 runs...  112/1536 runs...  120/1536 runs...  128/1536 runs...  136/1536 runs...  144/1536 runs...  152/1536 runs...  160/1536 runs...  168/1536 runs...  176/1536 runs...  184/1536 runs...  192/1536 runs...  200/1536 runs...  208/1536 runs...  216/1536 runs...  224/1536 runs...  232/1536 runs...  240/1536 runs...  248/1536 runs...  256/1536 runs...  264/1536 runs...  272/1536 runs...  280/1536 runs...  288/1536 runs...  296/1536 runs...  304/1536 runs...  312/1536 runs...  320/1536 runs...  328/1536 runs...  336/1536 runs...  344/1536 runs...  352/1536 runs...  360/1536 runs...  368/1536 runs...  376/1536 runs...  384/1536 runs...  392/1536 runs...  400/1536 runs...  408/1536 runs...  416/1536 runs...  424/1536 runs...  432/1536 runs...  440/1536 runs...  448/1536 runs...  456/1536 runs...  464/1536 runs...  472/1536 runs...  480/1536 runs...  488/1536 runs...  496/1536 runs...  504/1536 runs...  512/1536 runs...  520/1536 runs...  528/1536 runs...  536/1536 runs...  544/1536 runs...  552/1536 runs...  560/1536 runs...  568/1536 runs...  576/1536 runs...  584/1536 runs...  592/1536 runs...  600/1536 runs...  608/1536 runs...  616/1536 runs...  624/1536 runs...  632/1536 runs...  640/1536 runs...  648/1536 runs...  656/1536 runs...  664/1536 runs...  672/1536 runs...  680/1536 runs...  688/1536 runs...  696/1536 runs...  704/1536 runs...  712/1536 runs...  720/1536 runs...  728/1536 runs...  736/1536 runs...  744/1536 runs...  752/1536 runs...  760/1536 runs...  768/1536 runs...  776/1536 runs...  784/1536 runs...  792/1536 runs...  800/1536 runs...  808/1536 runs...  816/1536 runs...  824/1536 runs...  832/1536 runs...  840/1536 runs...  848/1536 runs...  856/1536 runs...  864/1536 runs...  872/1536 runs...  880/1536 runs...  888/1536 runs...  896/1536 runs...  904/1536 runs...  912/1536 runs...  920/1536 runs...  928/1536 runs...  936/1536 runs...  944/1536 runs...  952/1536 runs...  960/1536 runs...  968/1536 runs...  976/1536 runs...  984/1536 runs...  992/1536 runs...  1000/1536 runs...  1008/1536 runs...  1016/1536 runs...  1024/1536 runs...  1032/1536 runs...  1040/1536 runs...  1048/1536 runs...  1056/1536 runs...  1064/1536 runs...  1072/1536 runs...  1080/1536 runs...  1088/1536 runs...  1096/1536 runs...  1104/1536 runs...  1112/1536 runs...  1120/1536 runs...  1128/1536 runs...  1136/1536 runs...  1144/1536 runs...  1152/1536 runs...  1160/1536 runs...  1168/1536 runs...  1176/1536 runs...  1184/1536 runs...  1192/1536 runs...  1200/1536 runs...  1208/1536 runs...  1216/1536 runs...  1224/1536 runs...  1232/1536 runs...  1240/1536 runs...  1248/1536 runs...  1256/1536 runs...  1264/1536 runs...  1272/1536 runs...  1280/1536 runs...  1288/1536 runs...  1296/1536 runs...  1304/1536 runs...  1312/1536 runs...  1320/1536 runs...  1328/1536 runs...  1336/1536 runs...  1344/1536 runs...  1352/1536 runs...  1360/1536 runs...  1368/1536 runs...  1376/1536 runs...  1384/1536 runs...  1392/1536 runs...  1400/1536 runs...  1408/1536 runs...  1416/1536 runs...  1424/1536 runs...  1432/1536 runs...  1440/1536 runs...  1448/1536 runs...  1456/1536 runs...  1464/1536 runs...  1472/1536 runs...  1480/1536 runs...  1488/1536 runs...  1496/1536 runs...  1504/1536 runs...  1512/1536 runs...  1520/1536 runs...  1528/1536 runs...  1536/1536 runs...

################ FORCE: 1x high-tier, no escort | DEFENCE: chumps only ################

--- chumps every 1 ticks (30.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Purple   7  monky                29.4s     DEF WINS        inf      1918       452   0.24x   28% defender_won            
Purple   8  bigblobbo            33.4s     DEF WINS        inf     12760      1489   0.12x   16% defender_won            
Red      5  birdo               199.4s     DEF WINS        inf        51        96   1.88x   67% defender_won            
Red      6  the_puncher          46.8s     DEF WINS        inf       324       181   0.56x   73% defender_won            
Red      7  caw                  17.5s     DEF WINS        inf      2361      1221   0.52x   53% defender_won            
Red      8  draggo               33.4s     DEF WINS        inf     18904      4365   0.23x   24% defender_won            
White    5  alpacco             243.3s     DEF WINS        inf        81       291   3.59x   63% defender_won            
White    6  bread                88.7s     DEF WINS        inf       338       630   1.86x   57% defender_won            
White    7  eggo                 11.8s     DEF WINS        inf      2066      1368   0.66x   63% defender_won            
White    8  corn                 61.7s     DEF WINS        inf     23000      9756   0.42x   14% defender_won            
Yellow   5  jig                 162.0s     DEF WINS        inf        60       156   2.60x   62% defender_won            
Yellow   6  bub                 174.8s     DEF WINS        inf       136       300   2.21x   27% defender_won            
Yellow   7  deus                 31.0s     DEF WINS        inf      1281      1900   1.48x   27% defender_won            
Yellow   8  lyon                 33.4s     DEF WINS        inf     13272      3540   0.27x   16% defender_won            

--- chumps every 3 ticks (10.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Black    5  evilbirdo           187.3s     DEF WINS        inf        64       122   1.91x   63% defender_won            
Black    6  weirdo               57.9s     DEF WINS        inf       338       262   0.78x   59% defender_won            
Black    7  gorillo              30.5s     DEF WINS        inf      1183       892   0.75x   31% defender_won            
Black    8  evilguy              33.4s     DEF WINS        inf     14040      3844   0.27x   19% defender_won            
Blue     5  squid               198.6s     DEF WINS        inf        62       213   3.44x   63% defender_won            
Blue     6  judge                99.6s     DEF WINS        inf       376       627   1.67x   47% defender_won            
Blue     7  octoboi              39.5s     DEF WINS        inf      1379      3951   2.87x   27% defender_won            
Blue     8  lightningbear        19.2s     DEF WINS        inf     19416      6672   0.34x   33% defender_won            
Green    5  gecko               199.3s     DEF WINS        inf        46        69   1.50x   54% defender_won            
Green    6  geico                98.1s     DEF WINS        inf       212       164   0.77x   40% defender_won            
Green    7  nom                  11.1s     DEF WINS        inf       707       397   0.56x   61% defender_won            
Green    8  trogdor              16.4s     DEF WINS        inf     17880      3151   0.18x   32% defender_won            
Orange   5  scott               182.6s     DEF WINS        inf        25       176   7.04x   70% defender_won            
Orange   6  zander              149.0s     DEF WINS        inf       146       760   5.21x   95% defender_won            
Orange   7  tiger                29.6s     DEF WINS        inf      1673      2824   1.69x   33% defender_won            
Orange   8  hwy                  23.9s     DEF WINS        inf     19928      6744   0.34x   28% defender_won            
Purple   5  bit                 197.4s     DEF WINS        inf        91        50   0.55x   54% defender_won            
Purple   6  cube                 37.7s     DEF WINS        inf       348        80   0.23x   68% defender_won            
Purple   7  monky                29.4s     DEF WINS        inf      1918       436   0.23x   30% defender_won            
Purple   8  bigblobbo            33.4s     DEF WINS        inf     12760      1472   0.12x   16% defender_won            
Red      5  birdo               199.4s     DEF WINS        inf        51        86   1.69x   70% defender_won            
Red      6  the_puncher          46.8s     DEF WINS        inf       324       169   0.52x   77% defender_won            
Red      7  caw                  17.5s     DEF WINS        inf      2361      1046   0.44x   54% defender_won            
Red      8  draggo               33.4s     DEF WINS        inf     18904      4307   0.23x   24% defender_won            
White    5  alpacco             243.3s     DEF WINS        inf        81       258   3.19x   63% defender_won            
White    6  bread                88.7s     DEF WINS        inf       338       531   1.57x   57% defender_won            
White    7  eggo                 11.8s     DEF WINS        inf      2066      1305   0.63x   63% defender_won            
White    8  corn                 61.7s     DEF WINS        inf     23000      9603   0.42x   14% defender_won            
Yellow   5  jig                 162.0s     DEF WINS        inf        60       126   2.10x   64% defender_won            
Yellow   6  bub                 174.8s     DEF WINS        inf       136       236   1.74x   27% defender_won            
Yellow   7  deus                 31.0s     DEF WINS        inf      1281      1652   1.29x   27% defender_won            
Yellow   8  lyon                 33.4s     DEF WINS        inf     13272      3470   0.26x   16% defender_won            

--- chumps every 5 ticks (6.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Black    5  evilbirdo           187.3s     DEF WINS        inf        64        96   1.50x   68% defender_won            
Black    6  weirdo               57.9s     DEF WINS        inf       338       218   0.64x   68% defender_won            
Black    7  gorillo              30.5s     DEF WINS        inf      1183       784   0.66x   32% defender_won            
Black    8  evilguy              33.4s     DEF WINS        inf     14040      3750   0.27x   20% defender_won            
Blue     5  squid               198.6s     DEF WINS        inf        62       168   2.71x   66% defender_won            
Blue     6  judge                99.6s     DEF WINS        inf       376       516   1.37x   48% defender_won            
Blue     7  octoboi              39.5s     DEF WINS        inf      1379      2898   2.10x   27% defender_won            
Blue     8  lightningbear        19.2s     DEF WINS        inf     19416      6525   0.34x   34% defender_won            
Green    5  gecko               199.3s     DEF WINS        inf        46        61   1.33x   56% defender_won            
Green    6  geico                98.1s     DEF WINS        inf       212       149   0.70x   41% defender_won            
Green    7  nom                  11.1s     DEF WINS        inf       707       356   0.50x  100% defender_won            
Green    8  trogdor              16.4s     DEF WINS        inf     17880      3097   0.17x   34% defender_won            
Orange   5  scott               182.6s     DEF WINS        inf        25       120   4.80x   84% defender_won            
Orange   6  zander              149.0s     DEF WINS        inf       146       752   5.15x  100% defender_won            
Orange   7  tiger                29.6s     DEF WINS        inf      1673      1936   1.16x   33% defender_won            
Orange   8  hwy                  23.9s     DEF WINS        inf     19928      6572   0.33x   29% defender_won            
Purple   5  bit                 197.4s     DEF WINS        inf        91        39   0.43x   56% defender_won            
Purple   6  cube                 37.7s     DEF WINS        inf       348        72   0.21x   67% defender_won            
Purple   7  monky                29.4s     DEF WINS        inf      1918       388   0.20x   29% defender_won            
Purple   8  bigblobbo            33.4s     DEF WINS        inf     12760      1431   0.11x   18% defender_won            
Red      5  birdo               199.4s     DEF WINS        inf        51        72   1.41x   75% defender_won            
Red      6  the_puncher          46.8s     DEF WINS        inf       324       165   0.51x   84% defender_won            
Red      7  caw                  17.5s     DEF WINS        inf      2361       830   0.35x   54% defender_won            
Red      8  draggo               33.4s     DEF WINS        inf     18904      4228   0.22x   25% defender_won            
White    5  alpacco             243.3s     DEF WINS        inf        81       210   2.59x   67% defender_won            
White    6  bread                88.7s     DEF WINS        inf       338       510   1.51x   59% defender_won            
White    7  eggo                 11.8s     DEF WINS        inf      2066      1044   0.51x   63% defender_won            
White    8  corn                 61.7s     DEF WINS        inf     23000      9384   0.41x   15% defender_won            
Yellow   5  jig                 162.0s     DEF WINS        inf        60       104   1.73x   78% defender_won            
Yellow   6  bub                 174.8s     DEF WINS        inf       136       184   1.35x   27% defender_won            
Yellow   7  deus                 31.0s     DEF WINS        inf      1281      1420   1.11x   28% defender_won            
Yellow   8  lyon                 33.4s     DEF WINS        inf     13272      3394   0.26x   18% defender_won            

--- chumps every 10 ticks (3.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Black    5  evilbirdo           187.3s     DEF WINS        inf        64        78   1.22x  100% defender_won            
Black    6  weirdo               57.9s     DEF WINS        inf       338       204   0.60x  100% defender_won            
Black    7  gorillo              30.5s     DEF WINS        inf      1183       722   0.61x   52% defender_won            
Black    8  evilguy              33.4s     DEF WINS        inf     14040      3598   0.26x   23% defender_won            
Blue     5  squid               198.6s     DEF WINS        inf        62       126   2.03x   71% defender_won            
Blue     6  judge                99.6s     DEF WINS        inf       376       546   1.45x   78% defender_won            
Blue     7  octoboi              39.5s     DEF WINS        inf      1379      1731   1.26x   28% defender_won            
Blue     8  lightningbear        19.2s     DEF WINS        inf     19416      6276   0.32x   37% defender_won            
Green    5  gecko               199.3s        NEVER        inf        46        63   1.37x  100% force_destroyed_horizon 
Green    6  geico                98.1s     DEF WINS        inf       212       132   0.62x   49% defender_won            
Green    7  nom                  11.1s        NEVER        inf       707       411   0.58x  100% force_destroyed_horizon 
Green    8  trogdor              16.4s     DEF WINS        inf     17880      2989   0.17x   37% defender_won            
Orange   5  scott               182.6s        NEVER        inf        25        92   3.68x  100% force_destroyed_horizon 
Orange   6  zander              149.0s     DEF WINS        inf       146       808   5.53x  100% defender_won            
Orange   7  tiger                29.6s     DEF WINS        inf      1673      1656   0.99x   34% defender_won            
Orange   8  hwy                  23.9s     DEF WINS        inf     19928      6300   0.32x   31% defender_won            
Purple   5  bit                 197.4s     DEF WINS        inf        91        30   0.33x   62% defender_won            
Purple   6  cube                 37.7s     DEF WINS        inf       348        61   0.18x   74% defender_won            
Purple   7  monky                29.4s     DEF WINS        inf      1918       403   0.21x   57% defender_won            
Purple   8  bigblobbo            33.4s     DEF WINS        inf     12760      1375   0.11x   21% defender_won            
Red      5  birdo               199.4s     DEF WINS        inf        51        65   1.27x  100% defender_won            
Red      6  the_puncher          46.8s     DEF WINS        inf       324       138   0.43x  100% defender_won            
Red      7  caw                  17.5s     DEF WINS        inf      2361       919   0.39x  100% defender_won            
Red      8  draggo               33.4s       >1200s        inf     18904      3600   0.19x   27% survived_horizon        
White    5  alpacco             243.3s     DEF WINS        inf        81       168   2.07x   79% defender_won            
White    6  bread                88.7s     DEF WINS        inf       338       468   1.38x   91% defender_won            
White    7  eggo                 11.8s     DEF WINS        inf      2066      1140   0.55x  100% defender_won            
White    8  corn                 61.7s     DEF WINS        inf     23000      9021   0.39x   17% defender_won            
Yellow   5  jig                 162.0s     DEF WINS        inf        60        76   1.27x   90% defender_won            
Yellow   6  bub                 174.8s     DEF WINS        inf       136       180   1.32x   29% defender_won            
Yellow   7  deus                 31.0s     DEF WINS        inf      1281      1176   0.92x   82% defender_won            
Yellow   8  lyon                 33.4s     DEF WINS        inf     13272      3262   0.25x   21% defender_won            

--- chumps every 15 ticks (2.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Black    5  evilbirdo           187.3s     DEF WINS        inf        64        62   0.97x  100% defender_won            
Black    6  weirdo               57.9s     DEF WINS        inf       338       198   0.59x  100% defender_won            
Black    7  gorillo              30.5s     DEF WINS        inf      1183       688   0.58x   98% defender_won            
Black    8  evilguy              33.4s     DEF WINS        inf     14040      3468   0.25x   26% defender_won            
Blue     5  squid               198.6s     DEF WINS        inf        62       129   2.08x  100% defender_won            
Blue     6  judge                99.6s     DEF WINS        inf       376       468   1.24x   60% defender_won            
Blue     7  octoboi              39.5s     DEF WINS        inf      1379      1539   1.12x   30% defender_won            
Blue     8  lightningbear        19.2s     DEF WINS        inf     19416      6042   0.31x   40% defender_won            
Green    5  gecko               199.3s     DEF WINS        inf        46        40   0.87x   71% defender_won            
Green    6  geico                98.1s     DEF WINS        inf       212       130   0.61x   86% defender_won            
Green    7  nom                  11.1s        NEVER        inf       707       381   0.54x  100% force_destroyed_horizon 
Green    8  trogdor              16.4s       >1200s        inf     17880      2400   0.13x   41% survived_horizon        
Orange   5  scott               182.6s        NEVER        inf        25        88   3.52x  100% force_destroyed_horizon 
Orange   6  zander              149.0s        NEVER        inf       146       816   5.59x  100% force_destroyed_horizon 
Orange   7  tiger                29.6s     DEF WINS        inf      1673      1788   1.07x  100% defender_won            
Orange   8  hwy                  23.9s     DEF WINS        inf     19928      6068   0.30x   34% defender_won            
Purple   5  bit                 197.4s     DEF WINS        inf        91        27   0.30x   75% defender_won            
Purple   6  cube                 37.7s     DEF WINS        inf       348        76   0.22x  100% defender_won            
Purple   7  monky                29.4s     DEF WINS        inf      1918       422   0.22x  100% defender_won            
Purple   8  bigblobbo            33.4s     DEF WINS        inf     12760      1325   0.10x   25% defender_won            
Red      5  birdo               199.4s        NEVER        inf        51        59   1.16x  100% force_destroyed_horizon 
Red      6  the_puncher          46.8s     DEF WINS        inf       324       146   0.45x  100% defender_won            
Red      7  caw                  17.5s        NEVER        inf      2361       889   0.38x  100% force_destroyed_horizon 
Red      8  draggo               33.4s       >1200s        inf     18904      2400   0.13x   29% survived_horizon        
White    5  alpacco             243.3s     DEF WINS        inf        81       144   1.78x   91% defender_won            
White    6  bread                88.7s     DEF WINS        inf       338       501   1.48x  100% defender_won            
White    7  eggo                 11.8s     DEF WINS        inf      2066      1104   0.53x  100% defender_won            
White    8  corn                 61.7s       >1200s        inf     23000      7200   0.31x   19% survived_horizon        
Yellow   5  jig                 162.0s        NEVER        inf        60        72   1.20x  100% force_destroyed_horizon 
Yellow   6  bub                 174.8s     DEF WINS        inf       136       168   1.24x   43% defender_won            
Yellow   7  deus                 31.0s        NEVER        inf      1281      1340   1.05x  100% force_destroyed_horizon 
Yellow   8  lyon                 33.4s     DEF WINS        inf     13272      3144   0.24x   25% defender_won            

--- chumps every 30 ticks (1.00/s) ---
team     T  attacker        no defence  with chumps      delay  atk cost  def cost   ratio  reach outcome                 
Black    5  evilbirdo           187.3s        NEVER        inf        64        74   1.16x  100% force_destroyed_horizon 
Black    6  weirdo               57.9s        NEVER        inf       338       216   0.64x  100% force_destroyed_horizon 
Black    7  gorillo              30.5s     DEF WINS        inf      1183       768   0.65x  100% defender_won            
Black    8  evilguy              33.4s       >1200s        inf     14040      2400   0.17x   35% survived_horizon        
Blue     5  squid               198.6s        NEVER        inf        62       135   2.18x  100% force_destroyed_horizon 
Blue     6  judge                99.6s     DEF WINS        inf       376       588   1.56x  100% defender_won            
Blue     7  octoboi              39.5s        NEVER        inf      1379      1710   1.24x  100% force_destroyed_horizon 
Blue     8  lightningbear        19.2s       >1200s        inf     19416      3600   0.19x   48% survived_horizon        
Green    5  gecko               199.3s        NEVER        inf        46        50   1.09x  100% force_destroyed_horizon 
Green    6  geico                98.1s        NEVER        inf       212       156   0.74x  100% force_destroyed_horizon 
Green    7  nom                  11.1s        18.2s       7.1s       707        19   0.03x  100% castle_destroyed        
Green    8  trogdor              16.4s       >1200s        inf     17880      1200   0.07x   52% survived_horizon        
Orange   5  scott               182.6s        NEVER        inf        25        88   3.52x  100% force_destroyed_horizon 
Orange   6  zander              149.0s       196.1s      47.1s       146       788   5.40x  100% castle_destroyed        
Orange   7  tiger                29.6s     DEF WINS        inf      1673      1840   1.10x  100% defender_won            
Orange   8  hwy                  23.9s       >1200s        inf     19928      4800   0.24x   42% survived_horizon        
Purple   5  bit                 197.4s     DEF WINS        inf        91        24   0.26x  100% defender_won            
Purple   6  cube                 37.7s     DEF WINS        inf       348        93   0.27x  100% defender_won            
Purple   7  monky                29.4s     DEF WINS        inf      1918       415   0.22x  100% defender_won            
