attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,3,4,evilnom,5,evilbirdo,9,576,Black,evilminnow,0,1,castle_destroyed,1229,40.97,False,0,0,0,2,576,25,1639,1014,0,729,1.0000,162
Black,6,weirdo,3,4,evilnom,5,evilbirdo,4,256,Black,evilminnow,1,1,force_destroyed,510,17.00,False,349,338,698,114,954,12,1314,1014,0,349,0.5765,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,5,320,Black,evilminnow,2,1,force_destroyed,486,16.20,False,199,197,398,54,718,14,1364,1014,0,398,0.6412,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,7,448,Black,evilminnow,3,1,force_destroyed,735,24.50,False,182,181,364,36,812,19,1489,1014,0,546,0.7376,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,5,1,castle_destroyed,2295,76.50,False,129,129,258,22,770,22,1564,1014,0,645,0.9588,785
Black,6,weirdo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,8,1,castle_destroyed,2334,77.80,False,80,80,160,15,672,22,1564,1014,0,639,1.0000,366
Black,7,gorillo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,0,1,castle_destroyed,633,21.10,False,0,-1,0,2,0,22,4099,3549,3,-1,1.0000,395
Black,7,gorillo,3,4,evilnom,5,evilbirdo,21,1344,Black,evilminnow,1,1,force_destroyed,1875,62.50,False,1840,1718,3680,157,5024,62,5099,3549,0,1840,0.3812,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,26,1664,Black,evilminnow,2,1,force_destroyed,2433,81.10,False,1139,1137,2278,73,3942,76,5449,3549,0,2278,0.9365,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,31,1984,Black,evilminnow,3,1,castle_destroyed,2769,92.30,False,923,920,1846,47,0,93,5874,3549,3,-1,1.0000,1365
