attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,anchor_delay,anchor_max,anchors_alive,anchor_first_tick,anchor_delayed_ticks,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,0,1,castle_destroyed,5620,187.33,False,0,0,0,0,0,0,64,64,1,-1,1.0000,132
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,1,1,force_destroyed,120,4.00,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,2,1,force_destroyed,150,5.00,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,3,1,force_destroyed,183,6.10,False,61,29,122,32,122,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,5,1,force_destroyed,238,7.93,False,48,29,96,19,96,0,64,64,0,238,0.6800,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,10,1,force_destroyed,383,12.77,False,39,37,78,9,78,0,64,64,0,383,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,15,1,force_destroyed,453,15.10,False,31,29,62,6,62,0,64,64,0,453,1.0000,-1
Black,5,evilbirdo,1,0,-,0,-,0,0,150,1,0,-1,0,Black,evilminnow,30,1,force_destroyed,1091,36.37,False,37,36,74,3,74,0,64,64,0,1091,1.0000,160
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,0,1,force_destroyed,262,8.73,False,0,-1,0,1,64,0,64,64,0,262,1.0000,132
Black,5,evilbirdo,1,0,-,5,evilbirdo,0,0,150,1,0,-1,0,Black,evilminnow,1,1,force_destroyed,120,4.00,False,120,18,240,102,240,0,64,64,0,120,0.6000,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,0,0,150,1,0,-1,0,Black,evilminnow,2,1,force_destroyed,150,5.00,False,75,25,150,50,150,0,64,64,0,150,0.6000,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,3,1,force_destroyed,183,6.10,False,61,28,122,33,186,0,64,64,0,183,0.6288,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,5,1,force_destroyed,237,7.90,False,48,24,96,24,160,0,64,64,0,237,0.6647,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,10,1,force_destroyed,260,8.67,False,26,17,52,12,116,0,64,64,0,260,0.7706,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,15,1,force_destroyed,279,9.30,False,19,12,38,8,102,0,64,64,0,279,0.7824,-1
Black,5,evilbirdo,1,0,-,5,evilbirdo,1,64,150,1,1,150,0,Black,evilminnow,30,1,force_destroyed,272,9.07,False,10,6,20,4,84,0,64,64,0,272,1.0000,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,150,1,0,-1,0,Black,evilminnow,0,1,castle_destroyed,725,24.17,False,0,0,0,0,0,25,689,64,1,-1,1.0000,132
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,150,1,0,-1,0,Black,evilminnow,1,1,force_destroyed,206,6.87,False,206,109,412,99,280,5,189,64,0,140,0.6000,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,150,1,0,-1,0,Black,evilminnow,2,1,force_destroyed,350,11.67,False,175,152,350,42,228,8,264,64,0,228,0.7118,-1
Black,5,evilbirdo,1,4,evilnom,0,-,0,0,150,1,0,-1,0,Black,evilminnow,3,1,force_destroyed,445,14.83,False,149,144,298,28,182,10,314,64,0,272,0.8294,-1
