attacker_team,tier,attacker_unit,force_size,escort_tier,escort_unit,anchor_tier,anchor_unit,anchors_spawned,anchor_spend,blocker_team,blocker_unit,interval_ticks,attacker_seat,outcome,ticks,seconds,beyond_game_limit,blockers_spawned,blockers_lost,blocker_spend,peak_blockers,spend_at_force_death,escorts_spawned,attacker_spend,force_spend,big_units_alive,force_died_tick,deepest_progress,first_castle_hit_tick
Black,6,weirdo,3,4,evilnom,5,evilbirdo,1,64,Black,evilminnow,0,1,castle_destroyed,512,17.07,False,0,0,0,1,0,18,1464,1014,3,-1,1.0000,144
Black,6,weirdo,3,4,evilnom,5,evilbirdo,1,64,Black,evilminnow,1,1,force_destroyed,530,17.67,False,530,431,1060,110,990,16,1414,1014,0,463,0.5765,-1
Black,6,weirdo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,2,1,force_destroyed,893,29.77,False,447,439,894,53,878,25,1639,1014,0,749,1.0000,646
Black,6,weirdo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,3,1,force_destroyed,1124,37.47,False,375,370,750,35,760,32,1814,1014,0,947,1.0000,439
Black,6,weirdo,3,4,evilnom,5,evilbirdo,3,192,Black,evilminnow,5,1,force_destroyed,1209,40.30,False,242,239,484,21,556,36,1914,1014,0,1066,1.0000,290
Black,6,weirdo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,8,1,castle_destroyed,767,25.57,False,96,95,192,14,0,26,1664,1014,3,-1,1.0000,202
Black,7,gorillo,3,4,evilnom,5,evilbirdo,1,64,Black,evilminnow,0,1,castle_destroyed,535,17.83,False,0,0,0,1,0,18,3999,3549,3,-1,1.0000,244
Black,7,gorillo,3,4,evilnom,5,evilbirdo,5,320,Black,evilminnow,1,1,force_destroyed,2520,84.00,False,2520,2387,5040,138,5280,83,5624,3549,0,2480,0.3812,-1
Black,7,gorillo,3,4,evilnom,5,evilbirdo,8,512,Black,evilminnow,2,1,force_destroyed,4703,156.77,False,2352,2344,4704,66,5060,152,7349,3549,0,4547,1.0000,1370
Black,7,gorillo,3,4,evilnom,5,evilbirdo,3,192,Black,evilminnow,3,1,castle_destroyed,1612,53.73,False,538,534,1076,44,0,54,4899,3549,3,-1,1.0000,838
Black,7,gorillo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,5,1,castle_destroyed,869,28.97,False,174,172,348,27,0,29,4274,3549,3,-1,1.0000,474
Black,7,gorillo,3,4,evilnom,5,evilbirdo,2,128,Black,evilminnow,8,1,castle_destroyed,682,22.73,False,86,84,172,17,0,23,4124,3549,3,-1,1.0000,343
Blue,6,judge,3,4,eel,5,squid,2,124,Blue,fishy,0,1,castle_destroyed,824,27.47,False,0,0,0,1,0,28,1772,1128,3,-1,1.0000,184
Blue,6,judge,3,4,eel,5,squid,2,124,Blue,fishy,1,1,force_destroyed,1184,39.47,False,1184,1062,3552,127,3511,38,2002,1128,0,1129,0.4953,-1
Blue,6,judge,3,4,eel,5,squid,4,248,Blue,fishy,2,1,force_destroyed,1975,65.83,False,988,970,2964,59,3044,63,2577,1128,0,1863,1.0000,1120
Blue,6,judge,3,4,eel,5,squid,4,248,Blue,fishy,3,1,force_destroyed,1910,63.67,False,637,625,1911,38,2060,61,2531,1128,0,1810,1.0000,789
